Movie_name,Rating,Duration,Release_year,Genre,Director,Num_Reviews,Metascore,Summary,Sentiment_Score
American Psycho,7.6,102,2000,drama,Mary Harron,768000,64,"A wealthy New York City investment banking executive, Patrick Bateman, hides his alternate psychopathic ego from his co-workers and friends as he delves deeper into his violent, hedonistic fantasies.",-0.04090909090909092
Battle Royale,7.5,114,2000,drama,Kinji Fukasaku,200000,81,"In the future, the Japanese government captures a class of ninth-grade students and forces them to kill one another under the revolutionary ""Battle Royale"" act.",0.0
"Crouching Tiger, Hidden Dragon",7.9,120,2000,drama,Ang Lee,287000,94,A young Chinese warrior steals a sword from a famed swordsman and then escapes into a world of romantic adventure with a mysterious man in the frontier of the nation.,0.025
Frequency,7.4,118,2000,drama,Gregory Hoblit,119000,67,"An accidental cross-time radio link connects father and son across 30 years. The son tries to save his father's life, but then must fix the consequences.",-0.1
Ginger Snaps,6.8,108,2000,drama,John Fawcett,55000,70,"Two death-obsessed sisters, outcasts in their suburban neighborhood, must deal with the tragic consequences when one of them is bitten by a deadly werewolf.",-0.31666666666666665
Gladiator,8.5,155,2000,drama,Ridley Scott,1700000,67,A former Roman General sets out to exact vengeance against the corrupt emperor who murdered his family and sent him into slavery.,-0.04999999999999999
Malena,7.4,108,2000,drama,Giuseppe Tornatore,118000,54,"As Italy enters WWII, a teenage boy in a small, narrow-minded Sicilian town becomes obsessed with a young woman.",-0.1625
Men of Honor,7.2,129,2000,drama,George Tillman Jr.,128000,56,"Carl Brashear is an ambitious sharecropper who joins the U.S. Navy to become the world's first black master diver. But as he works through diving training, the racist Master Chief sets out to make Carl's journey as difficult as possible.",-0.033333333333333326
Mohabbatein,7.0,216,2000,drama,Aditya Chopra,35000,64,"A film about the battle between love and fear, between two stubborn men and their opposing beliefs and the outcome of the love stories of 3 couples.",0.5
Tigerland,6.9,101,2000,drama,Joel Schumacher,44000,55,"A group of recruits go through Advanced Infantry Training at Fort Polk, Louisiana's infamous Tigerland, last stop before Vietnam for tens of thousands of young men in 1971.",6.938893903907228e-18
Unbreakable,7.3,106,2000,drama,M. Night Shyamalan,454000,62,A man learns something extraordinary about himself after a devastating accident.,-0.33333333333333337
A.I. Artificial Intelligence,7.2,146,2001,drama,Steven Spielberg,330000,65,"A highly advanced robotic boy longs to become ""real"" so that he can regain the love of his human mother.",0.2
Dil Chahta Hai,8.0,183,2001,drama,Farhan Akhtar,77000,64,"Three inseparable childhood friends are just out of college. Nothing comes between them - until they each fall in love, and their wildly different approaches to relationships creates tension.",0.25
Donnie Darko,8.0,113,2001,drama,Richard Kelly,876000,88,"After narrowly escaping a bizarre accident, a troubled teenager is plagued by visions of a man in a large rabbit suit who manipulates him to commit a series of crimes.",-0.02142857142857143
Gosford Park,7.2,137,2001,drama,Robert Altman,98000,90,"Set in the 1930s, a group of pretentious rich and famous get together for a weekend of relaxation at a hunting resort. But when a murder occurs, each one of these interesting characters becomes a suspect.",0.26875
Huccha,7.8,178,2001,drama,Om Prakash Rao,519,64,A violent youngster and an innocent Brahmin girl fall in love. But tragedy intervenes when the youngster is brain-damaged following a fight.,0.04999999999999999
